Id,price,discountedPrice,myntraRating,brandName,age,gender,color,season,usage,articleType,isEMIEnabled,isReturnable,isExchangeable
15970,1195.0,1195.0,1,Turtle,Adults-Men,Men,Navy Blue,Fall,Casual,Shirts,True,True,True
39386,1499.0,1499.0,0,Peter England,Adults-Men,Men,Blue,Summer,Casual,Jeans,True,True,True
21379,1699.0,1699.0,1,Manchester United,Adults-Men,Men,Black,Fall,Casual,Track Pants,True,True,True
53759,1099.0,1099.0,1,Puma,Adults-Men,Men,Grey,Summer,Casual,Tshirts,True,True,True
1855,499.0,499.0,1,Inkfruit,Adults-Men,Men,Grey,Summer,Casual,Tshirts,True,True,True
30805,630.0,630.0,1,Fabindia,Adults-Men,Men,Green,Summer,Ethnic,Shirts,True,True,True
26960,699.0,699.0,1,Jealous 21,Adults-Women,Women,Purple,Summer,Casual,Shirts,True,True,True
12369,1995.0,1995.0,1,Reid & Taylor,Adults-Men,Men,Purple,Fall,Formal,Shirts,True,True,True
42419,299.0,149.0,0,Gini and Jony,Kids-Girls,Girls,White,Summer,Casual,Tops,False,True,True
51832,499.0,499.0,1,Bwitch,Adults-Women,Women,Beige,Summer,Casual,Bra,False,True,True
13089,2699.0,2699.0,1,ADIDAS,Adults-Men,Men,Grey,Fall,Sports,Sweatshirts,True,True,True
7990,649.0,649.0,1,FILA,Adults-Men,Men,Navy Blue,Fall,Sports,Tshirts,True,True,True
37812,1599.0,1599.0,1,John Players,Adults-Men,Men,Navy Blue,Summer,Formal,Shirts,True,True,True
4729,649.0,649.0,1,Disney,Kids-Boys,Boys,Green,Summer,Casual,Tshirts,True,True,True
56825,949.0,949.0,1,John Players,Adults-Men,Men,Brown,Summer,Casual,Shirts,True,True,True
20099,799.0,799.0,0,DIVA,Adults-Women,Women,Green,Fall,Ethnic,Kurtas,False,True,True
3954,599.0,599.0,1,Jealous 21,Adults-Women,Women,Pink,Summer,Casual,Tshirts,True,True,True
28690,999.0,999.0,1,W,Adults-Women,Women,Beige,Summer,Ethnic,Kurtas,False,True,True
8580,1699.0,1699.0,0,SCULLERS,Adults-Men,Men,Grey,Fall,Casual,Waistcoat,True,True,True
18005,1399.0,1399.0,0,Puma,Adults-Men,Men,Black,Summer,Sports,Shorts,False,True,True
17871,225.0,225.0,0,Levis,Adults-Men,Men,Maroon,Winter,Casual,Briefs,False,True,True
9452,1049.0,1049.0,1,John Miller,Adults-Men,Men,Red,Fall,Formal,Shirts,True,True,True
45856,549.0,549.0,0,Vishudh,Adults-Women,Women,Brown,Summer,Ethnic,Kurtas,False,True,True
32138,214.0,214.0,0,Playboy,Adults-Men,Men,Blue,Summer,Casual,Briefs,False,True,True
5891,1099.0,1099.0,1,Puma,Adults-Men,Men,Black,Summer,Casual,Tshirts,True,True,True
38630,1295.0,1295.0,1,Nike,Adults-Women,Women,Purple,Summer,Casual,Tshirts,True,True,True
4943,949.0,427.0,1,Gini and Jony,Kids-Boys,Men,White,Summer,Casual,Shirts,True,True,True
10866,945.0,945.0,1,Wrangler,Adults-Men,Men,Red,Fall,Casual,Tshirts,True,True,True
59607,9000.0,9000.0,1,FNF,Adults-Women,Women,Grey,Fall,Ethnic,Sarees,True,True,True
15528,799.0,799.0,1,Puma,Adults-Men,Men,Black,Fall,Casual,Tshirts,True,True,True
54924,465.0,465.0,0,Do u speak green,Adults-Men,Men,Blue,Summer,Casual,Shorts,False,True,True
9660,1449.0,1449.0,1,Indigo Nation,Adults-Men,Men,Pink,Fall,Casual,Shirts,True,True,True
2288,1395.0,1395.0,0,Nike,Adults-Women,Women,Black,Fall,Sports,Tshirts,True,True,True
23876,2499.0,2499.0,1,ADIDAS,Adults-Men,Men,Blue,Fall,Casual,Sweatshirts,True,True,True
18237,899.0,899.0,0,Manchester United,Adults-Men,Men,Red,Fall,Casual,Tshirts,True,True,True
49653,1099.0,799.0,1,Mineral,Adults-Women,Women,Green,Summer,Casual,Tops,False,True,True
13419,1299.0,1299.0,0,United Colors of Benetton,Adults-Men,Men,Pink,Summer,Casual,Tshirts,True,True,True
17885,299.0,299.0,0,Levis,Adults-Men,Men,Grey,Summer,Casual,Innerwear Vests,False,True,True
58513,1290.0,1290.0,0,Tonga,Adults-Women,Women,Off White,Summer,Casual,Tops,False,True,True
52029,1895.0,1478.0,0,Just Natural,Adults-Unisex,Unisex,Coffee Brown,Summer,NA,Rain Jacket,False,True,True
5865,999.0,999.0,1,ADIDAS,Adults-Men,Men,Black,Summer,Casual,Tshirts,True,True,True
39716,1499.0,1499.0,1,Arrow Woman,Adults-Women,Women,Blue,Summer,Casual,Dresses,True,True,True
25349,225.0,225.0,0,Levis,Adults-Men,Men,Red,Summer,Casual,Briefs,False,True,True
55802,999.0,999.0,0,SDL by Sweet Dreams,Adults-Women,Women,White,Summer,Casual,Night suits,False,True,True
29584,699.0,699.0,1,Indigo Nation,Adults-Men,Men,Black,Summer,Casual,Tshirts,True,True,True
28456,899.0,899.0,1,Urban Yoga,Adults-Women,Women,Blue,Summer,Sports,Skirts,True,True,True
34009,249.0,124.0,1,Gini and Jony,Kids-Girls,Girls,Black,Summer,Casual,Tops,False,True,True
9694,765.0,765.0,1,Classic Polo,Adults-Men,Men,White,Fall,Casual,Tshirts,True,True,True
15984,1095.0,1095.0,1,Turtle,Adults-Men,Men,Yellow,Fall,Casual,Shirts,True,True,True
59297,1899.0,1899.0,0,U.S. Polo Assn.,Adults-Men,Men,White,Fall,Casual,Shirts,True,True,True
28032,149.0,149.0,0,Jockey,Adults-Men,Men,White,Summer,Casual,Briefs,False,True,True
27846,3399.0,3399.0,0,SCULLERS FOR HER,Adults-Women,Women,Charcoal,Summer,Formal,Blazers,True,True,True
26994,1599.0,1599.0,0,Jealous 21,Adults-Women,Women,Black,Summer,Casual,Jeans,True,True,True
54588,899.0,899.0,0,Sushilas,Adults-Women,Women,Green,Summer,Ethnic,Kurtas,False,True,True
8322,399.0,399.0,1,Doodle,Kids-Boys,Boys,Blue,Fall,Casual,Tshirts,True,True,True
7158,2499.0,2499.0,1,SCULLERS,Adults-Men,Men,Green,Fall,Casual,Shirts,True,True,True
19547,1899.0,1899.0,0,United Colors of Benetton,Adults-Men,Men,Blue,Fall,Casual,Sweatshirts,True,True,True
7964,799.0,799.0,1,Puma,Adults-Men,Men,Black,Fall,Sports,Tshirts,True,True,True
39140,3749.0,3749.0,0,Aneri,Adults-Women,Women,Black,Summer,Ethnic,Kurta Sets,False,True,True
16392,1399.0,1399.0,0,Levis,Adults-Men,Men,Red,Fall,Casual,Shirts,True,True,True
